shared name,IDs_2,cor_2, pval_2,Extract,p.value.corrected,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
108,577.265 998 1 (ID: 194),0.919233388225548,3.36127974167346E-06,0.00176529,0.00197307120836232,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.0001169236,0.000207449,0.003712625,0.0001534053,0.0002308603,0.00004102349,0.00004091848
109,577.297 1627 1 (ID: 880),-0.175419958738224,0.548607383044247,0.00002395454,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,0.0001019638,0.00008421275,0.00249787,0.00001110275
110,577.297 1548 1 (ID: 921),-0.160093199042734,0.584575978457779,0.00001053774,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,0.0000007734864,0.001798475,0.00007679674
111,577.795 1549 1 (ID: 858),-0.159638449278806,0.585657531292432,0.000007156374,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.001299319,0.00005851105
112,581.274 1139 1 (ID: 158),-0.103764147663436,0.72408320194847,0.002790781,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,0.0008711705,0.01626884,0.0006058619,0.000142813,0.00003314661,0.0000953909,0.0001684902,0.0000367213,0.00003717146
113,587.249 904 1 (ID: 598),0.114935944270348,0.695607533848316,0.0004420601,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.00003759051,0.01173715,0.00009067444,0.00003037243,0.00003190081,0.000004762037,0.000003598158
114,589.311 1607 1 (ID: 10),-0.000681477388368713,0.998155220841412,0.007396848,1,6.464336E-10,0.0002563564,8.650469E-10,3.423586E-10,0.000002103117,0.01146308,0.03728979,0.01493789,0.001886685,0.0004985786,0.001006967,0.0008356286,0.0004198923
115,589.311 1520 1 (ID: 22),0.873397143507255,4.50107734106115E-05,0.004807868,0.0264213239920289,0.0000173014,0.00002099565,8.650469E-10,3.423586E-10,0.000001256759,0.0002272177,0.003346898,0.00004021722,0.01175775,0.0005040581,0.0009528644,0.0009365859,0.0001517443
116,589.391 1410 1 (ID: 1030),-0.339393705730735,0.235169587441145,0.000731955,1,0.0393713776,0.0041070315,0.0263560108,0.0095751513,0.0006098703,0.0006056662,0.0008905193,0.00069383,0.0007033291,0.0006117688,0.0004523698,0.0003205189,0.000395702
117,590.317 1607 1 (ID: 170),0.030085591290607,0.918680092864758,0.002646608,1,6.464336E-10,0.00007591722,8.650469E-10,3.423586E-10,3.672463E-11,0.003534796,0.01141245,0.005504016,0.0008173354,0.0001881467,0.0003610898,0.0004107778,0.0001560253
118,591.326 1707 1 (ID: 152),-0.0859961284106689,0.770049781883728,0.002265194,1,6.464336E-10,1.221705E-10,8.650469E-10,0.0001278575,0.00006728597,0.007771044,0.01580026,0.0004983723,0.0005669145,0.0001191548,0.0002072738,0.0002706776,0.0001056056
